,image_id,class_name,class_id,x_min,y_min,x_max,y_max
0,train/0000.jpg,General trash,0,197.6,193.7,745.4,663.4
1,train/0001.jpg,Metal,3,0.0,407.4,57.6,588.0
2,train/0001.jpg,Plastic bag,7,0.0,455.6,144.6,637.2
3,train/0001.jpg,Glass,4,722.3,313.4,996.5999999999999,565.3
4,train/0001.jpg,Plastic,5,353.2,671.0,586.9,774.4
5,train/0001.jpg,Plastic,5,3.7,448.5,781.9000000000001,690.5
6,train/0001.jpg,General trash,0,425.3,681.9,641.7,861.7
7,train/0001.jpg,Plastic bag,7,92.4,601.7,231.6,654.8000000000001
8,train/0001.jpg,General trash,0,622.4,686.5,695.1999999999999,780.7
9,train/0002.jpg,Metal,3,267.9,165.2,899.5,678.2
10,train/0003.jpg,Paper pack,2,462.2,369.4,696.1,624.0
11,train/0003.jpg,Styrofoam,6,773.3,3.0,961.6999999999999,431.4
12,train/0004.jpg,Paper,1,567.5,462.2,732.7,551.6
13,train/0004.jpg,Paper,1,859.4,411.7,1023.5999999999999,612.6
14,train/0004.jpg,Paper,1,362.0,349.7,492.0,601.6
15,train/0004.jpg,Paper,1,392.5,348.4,604.5,604.0999999999999
16,train/0004.jpg,Paper,1,482.2,491.4,759.9,699.9
17,train/0004.jpg,General trash,0,868.2,521.7,969.4000000000001,566.4000000000001
18,train/0005.jpg,Plastic bag,7,0.0,148.3,317.0,278.3
19,train/0005.jpg,General trash,0,320.0,233.7,502.9,300.2
20,train/0005.jpg,General trash,0,297.7,212.6,464.6,274.1
21,train/0005.jpg,General trash,0,329.8,203.2,372.5,220.7
22,train/0005.jpg,Plastic,5,979.0,173.0,1023.7,259.3
23,train/0005.jpg,Plastic,5,894.3,425.4,1023.6999999999999,522.4
24,train/0005.jpg,Plastic bag,7,803.6,282.4,886.2,381.7
25,train/0005.jpg,Plastic bag,7,489.7,158.0,931.3,321.6
26,train/0005.jpg,Plastic bag,7,837.8,263.6,971.9,395.70000000000005
27,train/0005.jpg,Plastic bag,7,799.8,392.4,963.4,558.2
28,train/0005.jpg,Plastic bag,7,631.9,237.2,840.8,591.2
29,train/0005.jpg,Plastic bag,7,948.5,0.0,1023.7,105.9
30,train/0005.jpg,Plastic bag,7,55.5,0.0,1016.9,239.0
31,train/0005.jpg,Paper,1,68.1,66.5,193.39999999999998,104.8
32,train/0005.jpg,Paper,1,181.2,70.3,354.6,166.8
33,train/0005.jpg,Plastic bag,7,0.0,129.3,333.9,559.5
34,train/0005.jpg,Paper,1,60.6,271.2,665.7,739.0
35,train/0005.jpg,Paper,1,104.6,278.6,648.1,595.6
36,train/0005.jpg,General trash,0,98.5,612.3,168.3,656.6999999999999
37,train/0005.jpg,Paper,1,495.7,627.6,841.4,948.6
38,train/0005.jpg,Plastic,5,925.5,97.3,977.6,168.2
39,train/0005.jpg,General trash,0,471.4,422.3,601.4,482.0
40,train/0006.jpg,Paper,1,351.7,269.9,750.4,829.0
41,train/0007.jpg,Clothing,9,109.0,104.7,860.7,581.6
42,train/0007.jpg,Clothing,9,95.4,438.7,804.1,991.0999999999999
43,train/0008.jpg,Styrofoam,6,51.8,0.0,687.4,395.9
44,train/0008.jpg,General trash,0,74.8,258.0,321.0,281.9
45,train/0008.jpg,Plastic bag,7,170.3,0.0,585.8,210.5
46,train/0008.jpg,Plastic bag,7,0.0,161.8,101.2,823.9000000000001
47,train/0008.jpg,Plastic bag,7,86.0,0.0,269.2,124.2
48,train/0008.jpg,Plastic bag,7,0.0,0.0,192.3,211.6
49,train/0008.jpg,Plastic bag,7,44.4,135.9,789.6999999999999,886.4
50,train/0009.jpg,Paper pack,2,308.4,281.3,712.5,697.1
51,train/0010.jpg,General trash,0,377.9,255.0,746.3,533.1
52,train/0011.jpg,General trash,0,446.6,445.2,543.4,580.8
53,train/0012.jpg,Paper,1,146.0,441.9,921.4,952.9
54,train/0012.jpg,Paper,1,274.8,540.1,658.5,679.3
55,train/0012.jpg,Paper,1,276.3,334.6,632.6,599.4000000000001
56,train/0013.jpg,Styrofoam,6,99.9,58.9,239.8,177.0
57,train/0013.jpg,Plastic bag,7,746.7,167.6,970.5,420.0
58,train/0013.jpg,Plastic bag,7,0.0,0.0,111.1,159.2
59,train/0013.jpg,Styrofoam,6,59.3,0.0,241.10000000000002,81.0
60,train/0013.jpg,Plastic bag,7,629.2,24.9,970.5,278.09999999999997
61,train/0013.jpg,Paper,1,0.0,159.5,104.3,285.2
62,train/0013.jpg,Paper,1,0.0,473.4,301.0,823.0999999999999
63,train/0013.jpg,Paper,1,0.0,266.9,247.5,509.4
64,train/0013.jpg,Plastic bag,7,72.5,112.0,907.5,834.0
65,train/0013.jpg,Paper,1,485.2,173.2,550.9,208.79999999999998
66,train/0013.jpg,Metal,3,325.1,457.7,494.8,588.5
67,train/0013.jpg,Plastic,5,484.6,145.8,711.5,420.6
68,train/0013.jpg,Plastic,5,572.6,538.9,848.6,711.9
69,train/0013.jpg,Plastic,5,136.1,355.0,447.6,468.8
70,train/0013.jpg,Plastic,5,459.2,335.2,789.0,542.7
71,train/0013.jpg,Plastic,5,611.2,450.0,855.3000000000001,616.6
72,train/0014.jpg,Clothing,9,586.4,194.4,874.9,839.8
73,train/0014.jpg,Clothing,9,158.5,260.7,490.9,856.3
74,train/0014.jpg,Plastic bag,7,118.9,0.0,357.9,242.5
75,train/0014.jpg,Clothing,9,175.7,97.9,347.4,332.6
76,train/0014.jpg,Metal,3,909.2,929.9,976.0,1008.8
77,train/0015.jpg,Styrofoam,6,844.2,499.5,892.5,600.7
78,train/0015.jpg,Metal,3,423.9,390.4,848.0,717.8
79,train/0015.jpg,Styrofoam,6,885.6,577.0,957.0,659.6
80,train/0016.jpg,Styrofoam,6,306.8,178.8,876.7,789.7
81,train/0017.jpg,General trash,0,238.5,273.7,741.2,881.8
82,train/0018.jpg,Styrofoam,6,321.7,504.4,878.4000000000001,567.4
83,train/0018.jpg,Styrofoam,6,341.7,471.1,882.8,552.9
84,train/0018.jpg,Styrofoam,6,320.0,348.4,907.5,541.4
85,train/0018.jpg,Styrofoam,6,368.8,231.6,791.1,393.4
86,train/0018.jpg,Plastic bag,7,309.5,474.7,660.0,768.0
87,train/0018.jpg,Styrofoam,6,370.5,166.6,799.9,286.5
88,train/0018.jpg,Plastic bag,7,0.0,511.0,490.7,892.0
89,train/0018.jpg,Styrofoam,6,440.6,529.5,954.0,1023.7
90,train/0018.jpg,Plastic bag,7,361.7,257.0,667.0999999999999,521.1
91,train/0018.jpg,Plastic bag,7,447.0,65.8,752.4,221.2
92,train/0018.jpg,Metal,3,737.2,336.8,780.5,400.8
93,train/0019.jpg,Paper pack,2,12.2,508.2,79.60000000000001,560.8
94,train/0019.jpg,Plastic bag,7,580.1,0.8,932.9000000000001,209.60000000000002
95,train/0019.jpg,Plastic bag,7,0.0,0.0,224.2,148.8
96,train/0019.jpg,Plastic bag,7,164.2,0.0,704.5999999999999,214.3
97,train/0019.jpg,Plastic bag,7,0.0,95.5,446.0,517.1
98,train/0019.jpg,Plastic bag,7,0.0,321.5,465.6,694.1
99,train/0019.jpg,General trash,0,965.1,385.0,1023.7,427.2
100,train/0019.jpg,Metal,3,224.2,346.7,285.2,382.3
101,train/0019.jpg,Paper,1,262.1,355.6,392.8,392.20000000000005
102,train/0019.jpg,Plastic bag,7,377.6,104.6,1023.7,933.0
103,train/0020.jpg,Plastic bag,7,254.3,276.6,626.1,591.5
104,train/0021.jpg,Plastic bag,7,547.8,0.0,1006.0,480.2
105,train/0021.jpg,Plastic bag,7,256.8,0.0,558.5,227.2
106,train/0021.jpg,Plastic bag,7,581.3,194.7,761.9,577.7
107,train/0021.jpg,Plastic bag,7,439.6,130.4,594.0,325.8
108,train/0021.jpg,Plastic bag,7,290.8,158.1,480.8,372.4
109,train/0021.jpg,Plastic bag,7,290.3,213.3,513.8,584.8
110,train/0021.jpg,Plastic bag,7,476.2,266.2,602.2,514.4
111,train/0021.jpg,Plastic bag,7,492.4,507.9,685.4,742.2
112,train/0021.jpg,Plastic bag,7,283.2,497.4,503.1,851.5999999999999
113,train/0021.jpg,Plastic bag,7,295.4,119.2,370.09999999999997,238.10000000000002
114,train/0022.jpg,Metal,3,458.5,7.4,634.9,282.4
115,train/0022.jpg,Metal,3,59.3,631.9,880.0999999999999,924.7
116,train/0023.jpg,General trash,0,233.7,341.0,945.0999999999999,822.9
117,train/0024.jpg,General trash,0,381.3,311.6,786.3,746.9000000000001
118,train/0025.jpg,General trash,0,280.0,276.6,709.0,610.8
